rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping,,
ABTA,ABTA,,TRUE,individual,1 x4abut_c 1 xakg_c > 1 xglu_DASH_L_c 1 xsucsal_c,#abcd #efghi > #efghi #abcd,,
ACKr,ACKr,,TRUE,individual,1 xac_c > 1 xactp_c,#ab > #ab,,
ACKr_r,ACKr_reverse,,TRUE,individual,1 xactp_c > 1 xac_c,#ab > #ab,,
ACODA,ACODA,,TRUE,individual,1 xacorn_c > 1 xac_c 1 xorn_c,#abcdefg > #fg #abcde,,
ACOTA,ACOTA,,TRUE,individual,1 xacorn_c 1 xakg_c > 1 xacg5sa_c 1 xglu_DASH_L_c,#abcdefg #hijkl > #abcdefg #hijkl,,
ACOTA_r,ACOTA_reverse,,TRUE,individual,1 xacg5sa_c 1 xglu_DASH_L_c > 1 xacorn_c 1 xakg_c,#abcdefg #hijkl > #abcdefg #hijkl,,
ACS,ACS_coa,,TRUE,individual,1 xac_c 1 xcoa_c > 1 xaccoa_c,#ab #ABCDEFGHIJKLMNOPQRSTU > #ABCDEFGHIJKLMNOPQRSTUab,,
ACS,ACS,,TRUE,individual,1 xac_c > 1 xaccoa_c,#ab > #ab,,
ACt2r,ACt2rpp,,TRUE,individual,1 xac_p > 1 xac_c,#ab > #ab,,
ACt2r,ACtex,,TRUE,individual,1 xac_e > 1 xac_p,#ab > #ab,,
ACt2r_r,ACt2rpp_reverse,,TRUE,individual,1 xac_c > 1 xac_p,#ab > #ab,,
ACt2r_r,Actex_reverse,,TRUE,individual,1 xac_p > 1 xac_e,#ab > #ab,,
ADHEr,ACALD_reverse_coa,,TRUE,individual,1 xaccoa_c > 1 xacald_c 1 xcoa_c,#ABCDEFGHIJKLMNOPQRSTUab > #ab #ABCDEFGHIJKLMNOPQRSTU,,
ADHEr,ACALD_reverse,,TRUE,individual,1 xaccoa_c > 1 xacald_c,#ab > #ab,,
ADHEr,ALCD2x_coa,,TRUE,individual,1 xaccoa_c > 1 xcoa_c 1 xetoh_c,#ABCDEFGHIJKLMNOPQRSTUab > #ABCDEFGHIJKLMNOPQRSTU #ab,,
ADHEr,ALCD2x,,TRUE,individual,1 xaccoa_c > 1 xetoh_c,#ab > #ab,,
ADHEr_r,ACALD_coa,,TRUE,individual,1 xacald_c 1 xcoa_c > 1 xaccoa_c,#ab #ABCDEFGHIJKLMNOPQRSTU > #ABCDEFGHIJKLMNOPQRSTUab,,
ADHEr_r,ACALD,,TRUE,individual,1 xacald_c > 1 xaccoa_c,#ab > #ab,,
ADHEr_r,ALCD2x_reverse_coa,,TRUE,individual,1 xetoh_c 1 xcoa_c > 1 xaccoa_c,#ab #ABCDEFGHIJKLMNOPQRSTU > #ABCDEFGHIJKLMNOPQRSTUab,,
ADHEr_r,ALCD2x_reverse,,TRUE,individual,1 xetoh_c > 1 xaccoa_c,#ab > #ab,,
ADK1,ADK1,,TRUE,modified,1 xamp_c 1 xatp_c > 1 xadp_c 1 xadp_c,"#abcdefghij #klmnopqrst > #abcdefghij #klmnopqrst,#abcdefghij #klmnopqrst > #klmnopqrst #abcdefghij",,
ADK1,ADK1_Full,,TRUE,modified,1 xamp_c 1 xatp_c > 1 xadp_c 1 xadp_c,"#abcdefghij #klmnopqrst > #abcdefghij #klmnopqrst,#abcdefghij #klmnopqrst > #klmnopqrst #abcdefghij",,
ADK3,ADK3,,TRUE,modified,1 xamp_c 1 xgtp_c > 1 xadp_c 1 xgdp_c,#abcdefghij #klmnopqrst > #abcdefghij #klmnopqrst,,
ADK3,ADK3_Full,,TRUE,modified,1 xamp_c 1 xgtp_c > 1 xadp_c 1 xgdp_c,#abcdefghij #klmnopqrst > #abcdefghij #klmnopqrst,,
AGPR,AGPR,,TRUE,individual,1 xacg5sa_c > 1 xacg5p_c,#abcdefg > #abcdefg,,
AGPR_r,AGPR_reverse,,TRUE,individual,1 xacg5p_c > 1 xacg5sa_c,#abcdefg > #abcdefg,,
ALAR,ALAR,,TRUE,individual,1 xala_DASH_L_c > 1 xala_DASH_D_c,#abc > #abc,,
ALAR_r,ALAR_reverse,,TRUE,individual,1 xala_DASH_D_c > 1 xala_DASH_L_c,#abc > #abc,,
ALATAL,ALATA_L,,TRUE,individual,1 xakg_c 1 xala_DASH_L_c > 1 xglu_DASH_L_c 1 xpyr_c,#abcde #fgh > #abcde #fgh,,
ALATAL_r,ALATA_L_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xpyr_c > 1 xakg_c 1 xala_DASH_L_c,#abcde #fgh > #abcde #fgh,,
ALDD2x,ALDD2x,,TRUE,individual,1 xacald_c > 1 xac_c,#ab > #ab,,
ARGSL,ARGSL,,TRUE,individual,1 xargsuc_c > 1 xarg_DASH_L_c 1 xfum_c,"#abcdefghij > #abcdef #jghi,#abcdefghij > #abcdef #ihgj",,
ARGSL_r,ARGSL_reverse,,TRUE,individual,1 xarg_DASH_L_c 1 xfum_c > 1 xargsuc_c,"#abcdef #jghi > #abcdefghij,#abcdef #ihgj > #abcdefghij",,
ARGSS,ARGSS,,TRUE,individual,1 xasp_DASH_L_c 1 xcitr_DASH_L_c > 1 xargsuc_c,#abcd #efghij > #efghijbcda,,
ASAD,ASAD,,TRUE,individual,1 xaspsa_c > 1 x4pasp_c,#abcd > #abcd,,
ASAD_r,ASAD_reverse,,TRUE,individual,1 x4pasp_c > 1 xaspsa_c,#abcd > #abcd,,
ASNN,ASNN,,TRUE,individual,1 xasn_DASH_L_c > 1 xasp_DASH_L_c,#abcd > #abcd,,
ASNS1,ASNS1,,TRUE,individual,1 xasp_DASH_L_c 1 xgln_DASH_L_c > 1 xasn_DASH_L_c 1 xglu_DASH_L_c,#abcd #efghi > #abcd #efghi,,
ASNS2,ASNS2,,TRUE,individual,1 xasp_DASH_L_c > 1 xasn_DASH_L_c,#abcd > #abcd,,
ASPK,ASPK,,TRUE,individual,1 xasp_DASH_L_c > 1 x4pasp_c,#abcd > #abcd,,
ASPK_r,ASPK_reverse,,TRUE,individual,1 x4pasp_c > 1 xasp_DASH_L_c,#abcd > #abcd,,
ASPTA,ASPTA,,TRUE,individual,1 xakg_c 1 xasp_DASH_L_c > 1 xglu_DASH_L_c 1 xoaa_c,#abcde #fghi > #abcde #fghi,,
ASPTA_r,ASPTA_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xoaa_c > 1 xakg_c 1 xasp_DASH_L_c,#abcde #fghi > #abcde #fghi,,
ATPS4r,ATPS4rpp,,TRUE,modified,1 xadp_c > 1 xatp_c,#abcdefghij > #abcdefghij,,
ATPS4r,ATPS4rpp_Full,,TRUE,modified,1 xadp_c > 1 xatp_c,#abcdefghij > #abcdefghij,,
CBPS,CBPS,,TRUE,individual,1 xgln_DASH_L_c 1 xhco3_c > 1 xcbp_c 1 xglu_DASH_L_c,#abcde #f > #f #abcde,,
CHORM,CHORM,,TRUE,individual,1 xchor_c > 1 xpphn_c,#abcdefghij > #ihjbcdefga,,
CHORS,CHORS,,TRUE,individual,1 x3psme_c > 1 xchor_c,#abcdefghij > #abgfedchij,,
CO2t,CO2tex,,TRUE,individual,1 xco2_e > 1 xco2_p,#a > #a,,
CO2t,CO2tpp,,TRUE,individual,1 xco2_p > 1 xco2_c,#a > #a,,
CO2t_reverse,CO2tex_reverse,,TRUE,individual,1 xco2_p > 1 xco2_e,#a > #a,,
CO2t_reverse,CO2tpp_reverse,,TRUE,individual,1 xco2_c > 1 xco2_p,#a > #a,,
COASYN,COASYN,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,combo,1 x3mob_c 1 xmlthf_c 1 xasp_DASH_L_c 1 xcys_DASH_L_c > 1 xco2_c 1 xco2_c ,#abcde #f #ghij #klm > #g #k,,
COASYN,COASYN_Full,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,combo,1 x3mob_c 1 xmlthf_c 1 xasp_DASH_L_c 1 xcys_DASH_L_c 1 xatp_c > 1 xcoa_c 1 xco2_c 1 xco2_c ,#abcde #f #ghij #klm #123456789n > #123456789nfedcbajihlm #g #k,,
COMBO10,ADSL1r,,TRUE,added imp_to_amp,1 xdcamp_c > 1 xamp_c 1 xfum_c,"#abcdefghijklmn > #abcdefghij #klmn,#abcdefghijklmn > #abcdefghij #nmlk",,
COMBO10,ADSS,,TRUE,added imp_to_amp,1 ximp_c 1 xasp_DASH_L_c > 1 xdcamp_c,#abcdefghij #klmn > #abcdefghijklmn,,
COMBO10,imp_to_amp,"[ADSS,ADSL1r]",TRUE,combo,1 ximp_c 1 xasp_DASH_L_c > 1 xamp_c 1 xfum_c,"#abcdefghij #klmn > #abcdefghij #klmn,#abcdefghij #klmn > #abcdefghij #nmlk",,
COMBO10,imp_to_amp_Full,"[ADSS,ADSL1r]",TRUE,combo,1 ximp_c 1 xasp_DASH_L_c > 1 xamp_c 1 xfum_c,"#abcdefghij #klmn > #abcdefghij #klmn,#abcdefghij #klmn > #abcdefghij #nmlk",,
COMBO10,imp_to_gmp,"[IMPD,GMPS2]",TRUE,combo,1 ximp_c > 1 xgmp_c,#abcdefghij > #abcdefghij,,
COMBO10,imp_to_gmp_Full,"[IMPD,GMPS2]",TRUE,combo,1 ximp_c > 1 xgmp_c,#abcdefghij > #abcdefghij,,
COMBO15,chor_and_prpp_to_3ig3p,"[ANS,ANPRT,PRAIi,IGPS]",TRUE,combo,1 xchor_c 1 xgln_DASH_L_c 1 xprpp_c > 1 x3ig3p_c 1 xco2_c 1 xglu_DASH_L_c 1 xpyr_c ,#abcdefghij #klmno #pqrst > #tsrqbgfedcp #a #klmno #ihj,,
COMBO2,ptrc_to_4abut_1,"[PTRCTA,ABUTD]",TRUE,combo,1 xakg_c 1 xptrc_c > 1 x4abut_c 1 xglu_DASH_L_c,"#abcde #fghi > #fghi #abcde,#abcde #ihgf > #fghi #abcde",,
COMBO2,ptrc_to_4abut_2,"[GGPTRCS,GGPTRCO,GGGABADr,GGGABAH]",TRUE,combo added ptrc_to_4abut_2,1 xptrc_c > 1 x4abut_c,"#abcd > #abcd,#dcba > #abcd",,
COMBO22,CYSTL,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1 xcyst_DASH_L_c > 1 xpyr_c 1 xhcys_DASH_L_c 1 xnh4_c,#abcdefg > #abcd #gfe,,
COMBO22,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L_coa,"[HSST,SHSL1,CYSTL]",TRUE,combo,1 xcys_DASH_L_c 1 xhom_DASH_L_c 1 xsuccoa_c > 1 xcoa_c 1 xhcys_DASH_L_c 1 xpyr_c 1 xsucc_c ,"#bcd #efgh #ABCDEFGHIJKLMNOPQRSTUijkl > #ABCDEFGHIJKLMNOPQRSTU #efgh #bcd #ijkl,#bcd #efgh #ABCDEFGHIJKLMNOPQRSTUijkl > #ABCDEFGHIJKLMNOPQRSTU #efgh #bcd #lkji",,
COMBO22,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,"[HSST,SHSL1,CYSTL]",TRUE,combo,1 xcys_DASH_L_c 1 xhom_DASH_L_c 1 xsuccoa_c > 1 xhcys_DASH_L_c 1 xpyr_c 1 xsucc_c ,"#bcd #efgh #ijkl > #efgh #bcd #ijkl,#bcd #efgh #ijkl > #efgh #bcd #lkji",,
COMBO22,HSST_coa,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1 xsuccoa_c 1 xhom_DASH_L_c > 1 xcoa_c 1 xsuchms_c,#ABCDEFGHIJKLMNOPQRSTUabcd #efgh > #ABCDEFGHIJKLMNOPQRSTU #efghabcd,,
COMBO22,HSST,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1 xsuccoa_c 1 xhom_DASH_L_c > 1 xsuchms_c,#abcd #efgh > #efghabcd,,
COMBO22,METS,,TRUE,individual,1 xhcys_DASH_L_c 1 x5mthf_c > 1 xmet_DASH_L_c,#abcd #e > #abcde,,
COMBO22,SHSL1,,TRUE,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1 xsuchms_c 1 xcys_DASH_L_c > 1 xsucc_c 1 xcyst_DASH_L_c,"#abcdefg #ijk > #efgh #abcdkji,#abcdefg #ijk > #hgfe #abcdkji",,
COMBO25,e4p_and_pep_to_3dhq,"[DDPA,DHQS]",TRUE,combo,1 xe4p_c 1 xpep_c > 1 x3dhq_c,#abcd #efg > #efdcbag,,
COMBO26,aspsa_to_sl2a6o_coa,"[DHDPS,DHDPRy,THDPS]",TRUE,combo,1 xaspsa_c 1 xpyr_c 1 xsuccoa_c > 1 xcoa_c 1 xsl2a6o_c,#abcd #efg #ABCDEFGHIJKLMNOPQRSTUhijk > #ABCDEFGHIJKLMNOPQRSTU #abcdgfehijk,,
COMBO26,aspsa_to_sl2a6o,"[DHDPS,DHDPRy,THDPS]",TRUE,combo,1 xaspsa_c 1 xpyr_c 1 xsuccoa_c > 1 xsl2a6o_c,#abcd #efg #hijk > #abcdgfehijk,,
COMBO3,glu_DASH_L_to_acg5p,"[ACGS,ACGK]",TRUE,combo,1 xaccoa_c 1 xglu_DASH_L_c > 1 xacg5p_c,#ab #cdefg > #cdefgab,,
COMBO3,glu_DASH_L_to_acg5p_coa,"[ACGS,ACGK]",TRUE,combo,1 xaccoa_c 1 xglu_DASH_L_c > 1 xacg5p_c 1 xcoa_c,#ABCDEFGHIJKLMNOPQRSTUab #cdefg > #cdefgab #ABCDEFGHIJKLMNOPQRSTU,,
COMBO34,glu_DASH_L_to_glu5sa,"[GLU5K,G5SD]",TRUE,combo,1 xglu_DASH_L_c > 1 xglu5sa_c,#abcde > #abcde,,
COMBO36,g1p_to_glycogen,"[GLGC,GLCS1]",TRUE,combo,1 xg1p_c > 1 xglycogen_c,#abcdef > #abcdef,,
COMBO37,thr_DASH_L_to_gly_coa,"[THRD,GLYAT]",TRUE,combo,1 xcoa_c 1 xthr_DASH_L_c > 1 xaccoa_c 1 xgly_c,#ABCDEFGHIJKLMNOPQRSTU #abcd > #ABCDEFGHIJKLMNOPQRSTUcd #ab,,
COMBO37,thr_DASH_L_to_gly,"[THRD,GLYAT]",TRUE,combo,1 xthr_DASH_L_c > 1 xaccoa_c 1 xgly_c,#abcd > #cd #ab,,
COMBO38,dhap_to_lac_DASH_D,"[MGSA,LGTHL,GLYOX]",TRUE,combo,1 xdhap_c > 1 xlac_DASH_D_c,#abc > #cba,,
COMBO4,2obut_and_pyr_to_3mop,"[ACHBS,KARA2,DHAD2]",TRUE,combo,1 x2obut_c 1 xpyr_c > 1 x3mop_c 1 xco2_c,#abcd #efg > #abfcdg #e,,
COMBO41,hom_DASH_L_to_thr_DASH_L,"[HSK,THRS]",TRUE,combo,1 xhom_DASH_L_c > 1 xthr_DASH_L_c,#abcd > #abcd,,
COMBO47,3pg_to_ser_DASH_L,"[PGCD,PSERT,PSP_L]",TRUE,combo,1 x3pg_c 1 xglu_DASH_L_c > 1 xakg_c 1 xser_DASH_L_c,#abc #defgh > #defgh #abc,,
COMBO5,pyr_to_23dhmb,"[ACLS,KARA1]",TRUE,combo,1 xpyr_c 1 xpyr_c > 1 x23dhmb_c 1 xco2_c,#abc #def > #debcf #a,,
COMBOSPMD,5MTRtex_reverse,,TRUE,individual,1 x5mtr_p > 1 x5mtr_e,#abcdef > #abcdef,,
COMBOSPMD,5MTRtpp,,TRUE,individual,1 x5mtr_c > 1 x5mtr_p,#abcdef > #abcdef,,
COMBOSPMD,ADMDC_ametNEG,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,,,,
COMBOSPMD,ADMDC,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1 xamet_c > 1 xametam_c 1 xco2_c ,#123456789Aabcde > #123456789Abcde #a,,
COMBOSPMD,EX_5mtr_LPAREN_e_RPAREN_,,TRUE,individual,1 x5mtr_e >,#abcdef >,,
COMBOSPMD,met_DASH_L_and_ptrc_to_spmd_and_5mta,"[METAT,ADMDC,SPMS]",TRUE,combo,1 xmet_DASH_L_c 1 xatp_c 1 xptrc_c > 1 xco2_c 1 x5mta_c 1 xspmd_c 1 xade_c,"#abcde #fghij12345 #klmn > #a #fghije #klmndcb #12345,#abcde #fghij12345 #nmlk > #a #fghije #klmndcb #12345",,
COMBOSPMD,METAT_ametNEG,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1 xmet_DASH_L_c >,#abcde >,,
COMBOSPMD,METAT,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1 xmet_DASH_L_c 1 xatp_c > 1 xamet_c,#abcde #123456789A > #123456789Aabcde,,
COMBOSPMD,MTAN,,TRUE,individual,1 x5mta_c > 1 xade_c 1 x5mtr_c,#123456789Aa > #6789A #12345a,,
COMBOSPMD,SPMS,,TRUE,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1 xametam_c 1 xptrc_c > 1 xspmd_c 1 x5mta_c,"#123456789Aabcd #efgh > #efghabc #123456789Ad,#123456789Aabcd #efgh > #hgfeabc #123456789Ad",,
CS,CS_coa,,TRUE,individual,1 xaccoa_c 1 xoaa_c > 1 xcit_c 1 xcoa_c ,#ABCDEFGHIJKLMNOPQRSTUab #cdef > #fedbac #ABCDEFGHIJKLMNOPQRSTU,,
CS,CS,,TRUE,individual,1 xaccoa_c 1 xoaa_c > 1 xcit_c,#ab #cdef > #fedbac,,
CTPSYN,CTPS2,,TRUE,modified CTPSYN,1 xgln_DASH_L_c > 1 xglu_DASH_L_c,#abcde > #abcde,,
CTPSYN,CTPS2_Full,,TRUE,modified CTPSYN,1 xgln_DASH_L_c 1 xutp_c > 1 xglu_DASH_L_c 1 xctp_c ,#abcde #fghijklmn > #abcde #fghijklmn,,
CYSDS,CYSDS,,TRUE,individual,1 xcys_DASH_L_c > 1 xpyr_c,#abc > #abc,,
CYSS,CYSS,,TRUE,individual,1 xacser_c > 1 xac_c 1 xcys_DASH_L_c,#abcde > #de #abc,,
CYTK1,CYTK1,,TRUE,modified,,,,
CYTK1,CYTK1_Full,,TRUE,modified,1 xatp_c 1 xcmp_c > 1 xadp_c 1 xcdp_c,#abcdefghij #klmnopqrs > #abcdefghij #klmnopqrs,,
DAPDC,DAPDC,,TRUE,individual,1 x26dap_DASH_M_c > 1 xco2_c 1 xlys_DASH_L_c,"#abcdefg > #g #abcdef,#gfedcba > #g #abcdef",,
DAPE,DAPE,,TRUE,individual,1 x26dap_DASH_LL_c > 1 x26dap_DASH_M_c,"#abcdefg > #abcdefg,#gfedcba > #abcdefg,#abcdefg > #gfedcba,#gfedcba > #gfedcba",,
DAPE_r,DAPE_reverse,,TRUE,individual,1 x26dap_DASH_M_c > 1 x26dap_DASH_LL_c,"#abcdefg > #abcdefg,#abcdefg > #gfedcba,#gfedcba > #abcdefg,#gfedcba > #gfedcba",,
DHAD1,DHAD1,,TRUE,individual,1 x23dhmb_c > 1 x3mob_c,#abcde > #abcde,,
DHAPT,DHAPT,,TRUE,individual,1 xdha_c 1 xpep_c > 1 xdhap_c 1 xpyr_c,"#abc #def > #abc #def,#cba #def > #abc #def",,
DHQD,DHQTi,,TRUE,individual,1 x3dhq_c > 1 x3dhsk_c,#abcdefg > #abcdefg,,
DHQD_r,DHQTi_reverse,,TRUE,individual,1 x3dhsk_c > 1 x3dhq_c,#abcdefg > #abcdefg,,
DLACt2,D_DASH_LACt2pp,,TRUE,individual,1 xlac_DASH_D_p > 1 xlac_DASH_D_c,#abc > #abc,,
DLACt2,D_DASH_LACtex,,TRUE,individual,1 xlac_DASH_D_e > 1 xlac_DASH_D_p,#abc > #abc,,
DLACt2_r,D_DASH_LACt2pp_reverse,,TRUE,individual,1 xlac_DASH_D_c > 1 xlac_DASH_D_p,#abc > #abc,,
DLACt2_r,D_DASH_LACtex_reverse,,TRUE,individual,1 xlac_DASH_D_p > 1 xlac_DASH_D_e,#abc > #abc,,
dTTPSYN,dtmp_to_dttp,"[DTMPK,NDPK4]",TRUE,combo; cannot be lumped,1 xdtmp_c > 1 xdttp_c,#abcdefghij > #abcdefghij,,
dTTPSYN,DTMPK,,TRUE,added dtmp_to_dttp,,,,
dTTPSYN,DTMPK_Full,,TRUE,added dtmp_to_dttp,1 xdtmp_c > 1 xdtdp_c,#abcdefghij > #abcdefghij,,
dTTPSYN,NDPK4,,TRUE,added dtmp_to_dttp,,,,
dTTPSYN,NDPK4_Full,,TRUE,added dtmp_to_dttp,1 xdtdp_c > 1 xdttp_c,#abcdefghij > #abcdefghij,,
dTTPSYN,TMDS,,TRUE,combo,,,,
dTTPSYN,TMDS_Full,,TRUE,combo,1 xdump_c 1 xmlthf_c > 1 xdtmp_c,#abcdefghi #j > #abcdefghij,,
dTTPSYN,udp_to_dump_aerobic,"['RNDR4','NDPK6','DUTPDP']",TRUE,combo,,,,
dTTPSYN,udp_to_dump_aerobic_Full,"['RNDR4','NDPK6','DUTPDP']",TRUE,combo,1 xudp_c > 1 xdump_c,#abcdefghi > #abcdefghi,,
dTTPSYN,utp_to_dump_anaerobic,"['RNTR4c2','DUTPDP']",TRUE,combo,,,,
dTTPSYN,utp_to_dump_anaerobic_Full,"['RNTR4c2','DUTPDP']",TRUE,combo,1 xutp_c > 1 xdump_c,#abcdefghi > #abcdefghi,,
EDA,EDA,,TRUE,individual,1 x2ddg6p_c > 1 xg3p_c 1 xpyr_c,#abcdef > #def #abc,,
EDD,EDD,,TRUE,individual,1 x6pgc_c > 1 x2ddg6p_c,#abcdef > #abcdef,,
ENO,ENO,,TRUE,individual,1 x2pg_c > 1 xpep_c,#abc > #abc,,
ENO_r,ENO_reverse,,TRUE,individual,1 xpep_c > 1 x2pg_c,#abc > #abc,,
ETOHt2r,ETOHtex,,TRUE,individual,1 xetoh_e > 1 xetoh_p,#ab > #ab,,
ETOHt2r,ETOHtrpp,,TRUE,individual,1 xetoh_p > 1 xetoh_c,#ab > #ab,,
ETOHt2r_r,ETOHtex_reverse,,TRUE,individual,1 xetoh_p > 1 xetoh_e,#ab > #ab,,
ETOHt2r_r,ETOHtrpp_reverse,,TRUE,individual,1 xetoh_c > 1 xetoh_p,#ab > #ab,,
EX_ac,EX_ac_LPAREN_e_RPAREN_,,TRUE,individual,1 xac_e >,#ab >,,
EX_co2,EX_co2_LPAREN_e_RPAREN_,,TRUE,individual,1 xco2_e >,#a >,,
EX_etoh,EX_etoh_LPAREN_e_RPAREN_,,TRUE,individual,1 xetoh_e >,#ab >,,
EX_for,EX_for_LPAREN_e_RPAREN_,,TRUE,individual,1 xfor_e >,#a >,,
EX_fum,EX_fum_LPAREN_e_RPAREN_,,TRUE,individual,1 xfum_e >,"#abcd >,#dcba >",,
EX_glc,EX_glc_LPAREN_e_RPAREN_,,TRUE,individual,1 xglc_DASH_D_e >,#abcdef >,,
EX_glyc,EX_glyc_LPAREN_e_RPAREN_,,TRUE,individual,1 xglyc_e >,"#abc >,#cba >",,
EX_lacD,EX_lac_DASH_D_LPAREN_e_RPAREN_,,TRUE,individual,1 xlac_DASH_D_e >,#abc >,,
EX_lacL,EX_lac_DASH_L_LPAREN_e_RPAREN_,,TRUE,individual,1 xlac_DASH_L_e >,#abc >,,
EX_pyr,EX_pyr_LPAREN_e_RPAREN_,,TRUE,individual,1 xpyr_e > ,#abc >,,
EX_succ,EX_succ_LPAREN_e_RPAREN_,,TRUE,individual,1 xsucc_e > ,"#abcd >,#dcba >",,
F6PA,F6PA,,TRUE,individual,1 xf6p_c > 1 xdha_c 1 xg3p_c,"#abcdef > #abc #def,#abcdef > #cba #def",,
F6PA_r,F6PA_reverse,,TRUE,individual,1 xdha_c 1 xg3p_c > 1 xf6p_c,"#abc #def > #abcdef,#cba #def > #abcdef",,
FADSYN,APRAUR,,TRUE,added FADSYN,1 x5apru_c > 1 x5aprbu_c,#abcdefghi > #abcdefghi,,
FADSYN,DB4PS,,TRUE,added FADSYN,1 xru5p_DASH_D_c > 1 xdb4p_c 1 xfor_c,#abcde > #bcde #a,,
FADSYN,DHPPDA2,,TRUE,added FADSYN,1 x25drapp_c > 1 x5apru_c,#abcdefghi > #abcdefghi,,
FADSYN,FADSYN,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,DB4PS,RBFSa,RBFSb,RBFK,FMNAT]",TRUE,combo,  ,,,
FADSYN,FADSYN_1,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,combo,1 xgtp_c > 1 xfor_c,#abcdefghij > #j,,
FADSYN,FADSYN_1_Full,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,combo,1 xgtp_c 1 xru5p_DASH_D_c > 1 x4r5au_c 1 xfor_c 1 xdb4p_c 1 xfor_c,#abcdefghij #klmno > #abcdefghi #j #lmno #k,,
FADSYN,FADSYN_2,"[RBFSa,DB4PS]",TRUE,combo,1 xru5p_DASH_D_c > 1 xfor_c,#abcde > #a,,
FADSYN,FADSYN_3,"[RBFK,FMNAT]",TRUE,combo,,,,
FADSYN,FADSYN_3_Full,"[RBFK,FMNAT]",TRUE,combo,1 xribflv_c 1 xatp_c > 1 xfad_c,#abcdefghijklmnopq #ABCDEFGHIJ > #abcdefghijklmnopqABCDEFGHIJ,,
FADSYN,FMNAT,,TRUE,added FADSYN,1 xfmn_c 1 xatp_c > 1 xfad_c,#abcdefghijklmnopq #ABCDEFGHIJ > #abcdefghijklmnopqABCDEFGHIJ,,
FADSYN,GTPCII2,,TRUE,added FADSYN,1 xgtp_c > 1 x25drapp_c 1 xfor_c,#abcdefghij > #abcdefghi #j,,
FADSYN,PMDPHT,,TRUE,added FADSYN,1 x5aprbu_c > 1 x4r5au_c,#abcdefghi > #abcdefghi,,
FADSYN,RBFK,,TRUE,added FADSYN,1 xribflv_c > 1 xfmn_c,#abcdefghijklmnopq > #abcdefghijklmnopq,,
FADSYN,RBFSa,,TRUE,added FADSYN,1 x4r5au_c 1 xdb4p_c > 1 xdmlz_c,"#abcdefghi #jklm > #abcdefghijklm,#abcdefghi #jklm > #abcdefghimlkj",,
FADSYN,RBFSb,,TRUE,added FADSYN,2 xdmlz_c > 1 x4r5au_c 1 xribflv,"#abcdefghijklm #ABCDEFGHIJKLM > #abcdefghi #ABCDEFGHIJKLMjklm,#abcdefghijklm #ABCDEFGHIJKLM > #ABCDEFGHI #abcdefghiJKLM",,
FBA,FBA,,TRUE,individual,1 xfdp_c > 1 xdhap_c 1 xg3p_c,#abcdef > #abc #def,,
FBA_r,FBA_reverse,,TRUE,individual,1 xdhap_c 1 xg3p_c > 1 xfdp_c,#abc #def > #abcdef,,
